27,1330.125,张晞临
28,23.875,张晞临
29,827.875,张晞临
30,50.25,张晞临
31,33.5,张晞临
32,367.75,张晞临
33,189.875,张晞临
34,0,张晞临
35,0,张晞临
36,392.75,张晞临
37,36.375,张晞临
38,43.875,张晞临
39,50.875,张晞临
40,248.5,张晞临
41,467.125,张晞临
42,347.625,张晞临
43,494,张晞临
44,100.875,张晞临
45,0,张晞临
46,160.375,张晞临
47,306.25,张晞临
48,302.25,张晞临
1,144.5,公磊
2,0,公磊
3,0,公磊
4,0,公磊
5,0,公磊
6,0,公磊
7,216.75,公磊
8,0,公磊
9,0,公磊
10,0,公磊
11,200.875,公磊
12,122,公磊
13,743.625,公磊
14,87.75,公磊
15,0,公磊
16,0,公磊
17,0,公磊
18,0,公磊
19,0,公磊
20,0,公磊
21,0,公磊
22,0,公磊
23,0,公磊
24,0,公磊
25,0,公磊
26,0,公磊
27,0,公磊
28,398.375,公磊
29,30.375,公磊
30,0,公磊
31,0,公磊
32,653.875,公磊
33,927.5,公磊
34,497.75,公磊
35,56.875,公磊
36,243.375,公磊
37,0,公磊
38,121.375,公磊
39,0,公磊
40,0,公磊
41,0,公磊
42,85.75,公磊
43,215,公磊
44,886.5,公磊
45,403.5,公磊
46,230,公磊
47,94.25,公磊
48,0,公磊
1,24,杨子骅
2,0,杨子骅
3,0,杨子骅
4,0,杨子骅
5,0,杨子骅
6,55.625,杨子骅
7,85,杨子骅
8,0,杨子骅
9,29.875,杨子骅
10,130.625,杨子骅
11,155.25,杨子骅
12,99.375,杨子骅
13,190.875,杨子骅
14,0,杨子骅
15,100.25,杨子骅
16,0,杨子骅
17,57.625,杨子骅
18,0,杨子骅
19,0,杨子骅
20,0,杨子骅
21,112.625,杨子骅
22,156.5,杨子骅
23,59.875,杨子骅
24,0,杨子骅
25,0,杨子骅
26,68.125,杨子骅
27,88.75,杨子骅
28,69,杨子骅
29,0,杨子骅
30,112.875,杨子骅
31,65.75,杨子骅
32,0,杨子骅
33,34.125,杨子骅
34,195.5,杨子骅
35,86.875,杨子骅
36,260.875,杨子骅
37,27.75,杨子骅
38,119.5,杨子骅
39,0,杨子骅
40,70.625,杨子骅
41,37.25,杨子骅
42,69.75,杨子骅
43,81.375,杨子骅
44,56.75,杨子骅
45,58.5,杨子骅
46,0,杨子骅
47,308.625,杨子骅
