吃我咸鱼突刺,https://www.douban.com/people/65095398/,2012/10/3,1,2018/12/16,20:00:16,17,年代剧不是问题，问题是近期上映的都是年代剧，《外滩钟声》、《我们的四十年》、《那座城这家人》、《大江大河》，感觉跟当年重庆唱红歌、更早的样板戏一个意思，不好意思，全部一星。,1,0
桃花庵下桃花仙,https://www.douban.com/people/139019096/,2015/12/15,2,2018/12/14,22:52:38,24,一星给原著，一星给正午阳光，作为阿耐书粉加正午自来水，对这部剧本是抱有很大期望的，但是选角有大问题，王凯演十几岁的少年实在太出戏，而且他身上真的有浓浓的“受”感，粉丝吹得演技也没看出来，有点失望😞,2,0
Hidden Man,https://www.douban.com/people/156680737/,2017/1/21,1,2018/12/26,23:00:37,8,戳爆演技吧，还尼玛吹王凯那演技呢？,1,0
追梦少年,https://www.douban.com/people/154072665/,2016/11/20,2,2018/12/26,22:09:06,4,一般般，要是主演是胡歌就好了,2,0
白柠夔,https://www.douban.com/people/3675380/,2009/2/20,1,2018/12/19,17:56:28,15,拍的一点也不写实,1,0
最爱 😘,https://www.douban.com/people/141964498/,2016/2/15,1,2018/12/25,21:47:02,8,平淡无奇,1,1
tsubasajin,https://www.douban.com/people/149057528/,2016/8/1,1,2018/12/23,12:40:12,15,看了几集不咋滴很无趣的一部片,1,0
大啃,https://www.douban.com/people/kenny_surface/,2008/7/24,1,2018/12/28,16:28:21,0,,1,1
红颜劫,https://www.douban.com/people/182681720/,2018/8/10,1,2018/12/18,22:16:24,27,看了两集看不下去，不明白分数这么高，很违和,1,0
茄子😘🐵,https://www.douban.com/people/155433335/,2016/12/23,1,2018/12/27,0:04:04,16,看到32集太气了，小雷家的戏看得烦躁死了，为什么小雷家的人可以讨厌到这种地步！！！宋运辉为啥突然谈恋爱了？？突然撩妹，怎么没有过度的？太气了嘤！,1,0
羽,https://www.douban.com/people/169520345/,2017/11/12,1,2018/12/14,22:29:44,30,各有各的看法，个人觉得不真实，很多情节有点想当然，当时农村人的形态根本不是这样的好不好？不要用现代人的观点去看那段历史,1,2
红狐羚,https://www.douban.com/people/136438626/,2015/10/22,2,2018/12/16,8:14:28,25,捧得太高了，实在一般，叫好的部分与其他献礼剧叙述无差别，全部顺溜滑，鬼也知道部部如此。现在还加个奇葩婆媳关系，烂扯一气。本来2分，拖沓，老套没新意，减1分平抑一下。,2,0
豆友185364338,https://www.douban.com/people/185364338/,2018/10/3,1,2018/12/29,17:53:31,8,给一星都多了,1,0
蓝蓝李,https://www.douban.com/people/154753955/,2016/12/7,2,2018/12/26,21:09:51,7,改革开放以来发展最快的就是追星文化,2,2
乔帮主,https://www.douban.com/people/63962024/,2012/8/18,1,2018/12/28,16:31:24,8,太难看了！！浪费kkw颜值,1,0
八圈,https://www.douban.com/people/cuddle/,2006/2/16,1,2018/12/24,18:48:22,12,看了一集中的前二十分钟。果断关掉。太可怕了，这种四十岁装娇羞的嘟嘴表情王凯你是怎么做出来的。这些演员每句对话都是装腔作势地假啊天哪。,1,0
辰枢巷,https://www.douban.com/people/csx18367964289/,2015/5/16,1,2018/12/29,14:30:03,11,我也想说句实话,1,0
