苟且偷生,https://www.douban.com/people/149827598/,2016/8/16,5,2018/12/10,19:49:07,730,画面好看，演的都很好，还是有认真的演员在工作的。王凯很敬业，这点佩服他,5,2
Tony,https://www.douban.com/people/186709120/,2018/11/1,1,2018/12/10,19:47:15,359,王凯简直丑的赶客了，又黑又土又油腻，居然还娘,1,0
仰望星空,https://www.douban.com/people/142815078/,2016/3/5,5,2018/12/10,20:01:59,639,好看又有深意，正午阳光出品，孔笙导演，王凯主演，原著还是阿耐的成名大作。这些元素都非常吸引人。王凯在剧中倾情演绎寒门学子宋运辉。他单薄的身材，隐忍的表情、充满内疚的下跪，精彩演出了一位受家庭成分所累，被压迫多年的少年郎。表演非常精准和到位。这实在是一部非常令人期待的作品。,5,2
莱昂诺尔,https://www.douban.com/people/170578465/,2017/12/4,5,2018/12/10,19:54:43,625,一星给9分原著《大江东去》；一星给正午阳光这个团队，听说为了这个戏建了个村；一星给孔笙，有孔笙的戏可以放一半心；一星给中戏男人帮，演员选的好，角色才能成功；一星是鼓励。,5,0
无济。,https://www.douban.com/people/183700176/,2018/8/27,5,2018/12/11,0:25:49,603,1.对黑子故意打低分的行为表示唾弃、可怜和无奈，一个致敬改革开放四十周年的献礼剧居然可以因为黑演员而故意打低分，格局全无！2.大江大河真的算是献礼剧的翘楚了吧，它没有空喊口号，而是抓住在改革开放大背景下的小人物的故事，节奏不错，细节处理也很好，每个人物都很真实！3.我超喜欢看宋运辉宿舍那三个叔叔吵架哈哈哈哈(ಡωಡ)特别有喜感~4.感觉看完剧我政治，历史考试和语文作文不愁了！5.补充25-26集，太过瘾了，情节紧凑，真的很尊重观众智商了！（悄悄说一句大江可能高估观众智商了）总结：不愧正午阳光出品~！,5,2
若水,https://www.douban.com/people/145576489/,2016/5/9,5,2018/12/10,19:49:33,617,前两集真心不错，催泪又真实得感动，希望能一直保持这个节奏。想到父母就是那一辈的人，真的是特别珍惜上大学的机会，一直都在告诉我一定要考大学，当时不理解，后来渐渐就懂了。回顾那段时光，对他们来说是忆青春，对我们来说会更加惜当下。看到第十集了，安云相声社和光棍村日常笑死个人；小辉看人看事非常准了，也特别有远见慢慢成为家里顶梁柱了；东宝你要是敢对姐姐不好我就😭😭😭；小杨馒头也登场了，大江大河真好看丫金州线好好看，厂斗剧情节奏厉害了看到片尾的独白十分震撼，这部剧带来很多向上力量，不由地想与主人公一样为了理想去做一个逐梦人，不计代价只为了一句“我不想辜负这个时代”。看了第二部预告，十分精彩，敲碗等。希望第二部能够全面展示出改革开放盛大画卷，国企、集体和个体全面开花，而不是拘泥于一个方面。,5,2
芸芸雪儿,https://www.douban.com/people/182637615/,2018/8/10,2,2018/12/10,19:34:24,365,王凯真的太娘了，留个锅盖头娘气冲天，演戏好油，演什么都是王凯自己，正午别再吹良心了，别打情怀骗豆瓣分踩同期剧了，现在于妈都良心本心了，正午再吹那老三样也骗不了人了，剧节奏慢的要死,2,0
哈～吼！,https://www.douban.com/people/miaoxu0326/,2015/5/19,5,2018/12/10,19:42:33,565,我的躯体独一无二，无可变动，我来到这儿，彻彻底底，只此一遭。“我不想辜负这个时代。”他们都不会辜负这个时代带给他们的机遇。王凯为了这部剧真的瘦了好多啊，很多场景也特别还原，看着就是那个年代，这么用心这部剧肯定不会差。,5,0
困觉,https://www.douban.com/people/151193330/,2016/9/16,5,2018/12/10,19:48:31,538,跟随着宋运辉的成长轨迹回顾了78-88这十年，人物在有限的剧集里被演员“立”住了。回看第一集发现，这个人真是如身边人一样在你不经意间就长大了，那么自然、那么引人入胜。整部剧虽然有那么一些令人遗憾的地方，但仍然不妨碍它成为2018最好的国剧。期待大江大河2，期待东海的故事。,5,2
无问西东,https://www.douban.com/people/154637865/,2016/12/4,5,2018/12/10,19:56:20,503,36岁的王凯饰演18岁的农村少年宋运辉毫无违和感，太棒了，这才是整容式演技,5,2
