1976年（第48届）,乔治·伯恩斯,布拉德·道里夫 布吉斯·梅迪斯 克里斯·萨兰登 杰克·瓦尔登
1975年（第47届）,罗伯特·德尼罗,弗雷德·阿斯泰尔 杰夫·布里吉斯 迈克尔V·加佐 李·斯特拉斯伯格
1974年（第46届）,约翰·豪斯曼,文森特·加迪尼亚 杰克·吉尔福德 杰森·米勒 兰迪·奎德
1973年（第45届）,乔尔·格雷,埃迪·艾伯特 詹姆斯·卡恩 罗伯特·杜瓦尔 阿尔·帕西诺
1972年（第44届）,本·约翰逊,杰夫·布里吉斯 李奥纳多·福瑞 理查德·杰克尔 罗伊·施奈德
1971年（第43届）,约翰·米尔斯,理查德·S·卡斯特拉诺 奇夫·丹·乔治 吉恩·哈克曼 约翰·马利
1970年（第42届）,吉格·杨,鲁珀特·克罗斯 埃利奥特·古尔德 杰克·尼科尔森 安东尼·奎尔
1969年（第41届）,杰克·艾伯森,西摩·卡塞尔 丹尼尔·马西 杰克·瓦尔德 吉恩·怀尔德
1968年（第40届）,乔治·肯尼迪,约翰·卡索维茨 吉恩·哈克曼 塞西尔·凯拉韦 麦克·波勒
1967年（第39届）,沃尔特·马修,岩松信 詹姆斯·梅森 乔治·席格 罗伯特·肖
1966年（第38届）,马丁·鲍尔萨姆,伊安·邦纳 汤姆·康特奈 迈克尔·邓恩 弗兰克·芬莱
1965年（第37届）,彼德·乌斯蒂诺夫,约翰·吉尔古德 斯坦利·霍洛维 艾德蒙·奥布莱恩 Lee
1964年（第36届）,茂文·道格拉斯,尼克·亚当斯 鲍比·达林 休·格里夫斯 约翰·休斯顿
1963年（第35届）,埃德·贝格利,维克多·布鲁诺 特利·萨瓦拉斯 奥马尔·沙里夫 特伦斯·斯坦普
1962年（第34届）,乔治·查金思,蒙哥马利·克利夫特 彼得·福克 杰基·格黎森 乔治·C·斯科特
1961年（第33届）,彼德·乌斯蒂诺夫,彼得·福克 杰克·柯瑞什 萨尔·米涅奥 齐尔·威尔斯
1960年（第32届）,休·格里夫斯,阿瑟·奥康纳 乔治·C·斯科特 罗伯特·沃恩 艾德·温
1959年（第31届）,伯尔·艾弗斯,西奥多·拜克 李·科布 阿瑟·肯尼迪 吉格·杨
1958年（第30届）,莱德·巴顿斯,维托里奥·德·西卡 早川雪洲 阿瑟·肯尼迪 鲁斯·谭柏林
1957年（第29届）,安东尼·奎恩,唐·默里 安东尼·博金斯 米基·鲁尼 罗伯特·斯塔克
1956年（第28届）,杰克·莱蒙,阿瑟·肯尼迪 乔·曼特尔 萨尔·米涅奥 阿瑟·奥康纳
1955年（第27届）,艾德蒙·奥布莱恩,李·科布 卡尔·莫尔登 罗德·斯泰格尔 汤姆·塔利
1954年（第26届）,弗兰克·辛纳特拉,埃迪·艾伯特 布兰登·德怀德 杰克·帕兰斯 罗伯特·斯特劳斯
1953年（第25届）,安东尼·奎恩,理查德·伯顿 阿瑟·休恩尼卡 维克托·麦克拉格伦 杰克·帕兰斯
1952年（第24届）,卡尔·莫尔登,里奥·吉恩 凯文·麦卡锡 彼德·乌斯蒂诺夫 吉格·杨
1951年（第23届）,乔治·桑德斯,杰夫·钱德勒 埃德蒙·戈温 萨姆·扎菲 埃里克·冯·施特罗海姆
1950年（第22届）,迪恩·贾格尔,约翰·爱尔兰 阿瑟·肯尼迪 拉尔夫·理查德森 詹姆斯·惠特摩
1949年（第21届）,沃尔特·休斯顿,查尔斯·比克福德 何塞·费勒 奥斯卡·霍莫尔卡 塞西尔·凯拉韦
1948年（第20届）,埃德蒙·戈温,查尔斯·比克福德 托马斯·戈麦斯 罗伯特·瑞安 理查德·威德马克
1947年（第19届）,哈罗德·拉塞尔,查尔斯·科本 威廉·德马雷斯特 克劳德·雷恩斯 克利夫顿·韦伯
1946年（第18届）,詹姆斯·杜恩,迈克尔·契柯夫 约翰·道尔 罗伯特·米彻姆 卡罗尔·耐什
1945年（第17届）,巴里·菲茨杰拉德,休姆·克罗宁 克劳德·雷恩斯 克利夫顿·韦伯 Monty
1944年（第16届）,查尔斯·科本,查尔斯·比克福德 卡罗尔·耐什 克劳德·雷恩斯 阿基姆·坦米罗夫
1943年（第15届）,凡·赫夫林,威廉·本迪克斯 沃尔特·休斯顿 弗兰克·摩根 亨利·特拉维斯
1942年（第14届）,唐纳德·克里斯普,沃尔特·布伦南 查尔斯·科本 詹姆斯·格黎森 西德尼·格林斯垂特
1941年（第13届）,沃尔特·布伦南,艾尔伯特·贝瑟曼 威廉·格根 杰克·奥克 詹姆斯·斯蒂芬森
1940年（第12届）,托马斯·米切尔,布莱恩·唐莱维 克劳德·雷恩斯 哈里·凯瑞 布赖恩·艾亨
1939年（第11届）,沃尔特·布伦南,约翰·加菲尔德 吉恩·洛克哈特 罗伯特·莫利 巴兹尔·雷斯伯恩
1938年（第10届）,约瑟夫·斯柴德克劳特,拉尔夫·贝拉米 托马斯·米切尔 HB·沃纳 Roland
1937年（第9届）,沃尔特·布伦南,米沙·奥尔 斯图尔特·艾尔文 巴兹尔·雷斯伯恩 阿基姆·坦米罗夫
