index,total_num,column_count,null_num,err_num,zero_num,normal_mean,normal_std,std_lower,std_upper,iqr_lower,iqr_upper,std_od_num,std_lower_od_num,std_upper_od_num,iqr_od_num,iqr_lower_od_num,iqr_upper_od_num,max,min,normal_mean,normal_std
a,816,816,0,0,0,19.946446078431375,0.4911607556456836,18.472963811494324,21.419928345368426,20.0,20.0,21,16,5,60,55,5,24.0,15.3,19.946446078431375,0.4911607556456836
b,816,816,0,0,0,54.277818627451055,0.14420723481447684,53.84519692300763,54.71044033189448,54.05000000000001,54.44999999999999,8,3,5,49,30,19,55.5,53.2,54.277818627451055,0.14420723481447684
c,816,816,0,0,3,75.26937269372694,57.49527724640063,-97.21645904547496,247.75520443292885,-77.5,214.5,12,0,12,20,0,20,339,0,75.26937269372694,57.49527724640063
d,816,816,0,0,0,11.216911764705882,4.45710387931199,-2.154399873230089,24.58822340264185,-1.0,23.0,5,0,5,7,0,7,27,3,11.216911764705882,4.45710387931199
e,816,816,0,0,0,4.17019199346405,0.011619497337068695,4.135333501452844,4.2050504854752555,4.1485,4.192500000000001,10,5,5,30,25,5,4.269,4.093,4.17019199346405,0.011619497337068695
f,816,816,0,0,0,10.574754901960784,4.509831108475111,-2.9547384234645477,24.104248227386115,-2.0,22.0,4,0,4,8,0,8,27.0,2.0,10.574754901960784,4.509831108475111
