闵静Jing,2,美女,47790097,8328729,97
张双利,1,娱乐,37967724,8282871,96
呗呗兔_,2,美女,27648540,8229580,217
周周珍可爱,2,美女,63615603,8218782,255
晨妍,2,美女,59176409,8179819,289
杜海涛,1,娱乐,4087162,8139649,16
赵奕欢Chloe,2,美女,16858510,8093927,188
刘涛,2,娱乐,12461066,7995095,9
麦小兜,2,音乐,27786091,7968496,83
山城小岳岳,1,搞笑,19491711,7963268,182
子笺子凛,1,帅哥,54993616,7944149,123
沈腾,1,娱乐,12472143,7938226,8
大G,1,宠物,66227875,7930920,46
街探社,2,生活,73192673,7928674,130
一婷呦you,2,美女,39275979,7910107,337
ohyeahyeah,1,搞笑,57420373,7820789,488
蔡徐坤,1,娱乐,23942175,7760272,9
温精灵,2,美女,81055865,7715300,102
明sir反骗局,0,蓝V,26337914,7703199,204
小霸王,2,美女,66593867,7684250,250
暖男先生,1,娱乐,37872089,7669779,12
尼格买提,1,娱乐,26383973,7652599,88
僵小鱼,1,动漫,20295510,7606005,215
地球村讲解员,1,文化,31694513,7574436,100
爱做饭的芋头SAMA,0,美食,29635079,7427739,46
临界十缨,2,美女,87293080,7412376,280
万能子墨,2,生活,37562151,7411960,89
认真少女_颜九,2,美妆,71879863,7354366,617
CCTV国家记忆,0,蓝V,65561777,7338720,231
婕妤,2,美妆,50608273,7323266,224
.羊羊羊,1,帅哥,62935958,7301508,329
乔乐思密达,2,美女,88079222,7258890,146
燃烧的陀螺仪,1,生活,44091893,7204190,477
小球球吖,2,美女,21585825,7196595,91
孙俪工作室,0,娱乐,18658824,7164698,121
大张伟,0,音乐,5458758,7141217,22
陈意礼,2,美女,80804846,7104728,266
扎心师郑实,1,图文控,31549447,7077601,121
王萌萌and卜凡旭🔥,1,音乐,47066268,7071465,228
小品一家人,2,搞笑,81730353,7068044,285
用武之地-讲武学堂,1,才艺,34230206,7032000,273
吴佳煜,2,美女,49189523,7028834,464
裴佳欣,2,娱乐,26163312,7019575,347
不齐舞团,1,舞蹈,36135946,6992291,124
考呀呀Excel技巧,1,科技,8580589,6939514,199
浙江卫视,1,蓝V,83884466,6921074,1007
黄中柳說,1,搞笑,54155612,6917582,191
说方言的王子涛,1,搞笑,47302169,6896818,299
呆妹儿小霸王,2,游戏,43644832,6880540,134
小龙的魔力,1,才艺,59752678,6870135,191
Eh-Bee-Family,1,搞笑,70234705,6869675,436
毒角SHOW,1,搞笑,40688079,6857618,204
乔师兄,1,文化,587560,6856406,6
杨公子要上进,1,搞笑,30918239,6856042,168
酋长,1,搞笑,61989806,6831520,175
张杰的小跟班,1,娱乐,9819560,6815911,17
浙有正能量,1,生活,461013990,6783626,1744
沈虫虫,1,音乐,38618880,6743951,187
魔术师林剑伟,1,才艺,39311936,6741310,270
赵露思,0,娱乐,20619174,6732427,36
设计帮帮忙,2,才艺,14684367,6724574,233
碎嘴许美达,2,生活,39147326,6695561,147
黄渤导演作品,1,娱乐,20423525,6689803,129
wuli设计姐,2,生活,25116355,6689679,312
BTV养生堂,1,文化,17251488,6680688,395
大连老湿王博文,1,搞笑,52204954,6665176,481
我是小可爱,2,剧情,45635711,6577608,320
中国军网,0,蓝V,89011044,6571398,340
严谨,2,美女,30082928,6536536,393
李雨霏2007,2,舞蹈,66286608,6535277,406
白小白,1,音乐,15857610,6535251,49
密子君,2,美食,28774769,6518842,341
嘿人李逵,1,搞笑,54189947,6497094,181
MrYang杨家成英语,1,搞笑,37552298,6490720,158
起司姨太,2,美妆,59436215,6473318,229
皮皮（教做菜）,0,美食,16825027,6435064,88
雷米🍒,1,游戏,60235576,6433665,194
JeremyLin林书豪7,1,体育,29531682,6399522,24
跑腿界的彭于晏,1,搞笑,64152597,6392372,146
茶啊二中,1,音乐,25641927,6369322,271
憨豆先生,1,娱乐,20273541,6354349,484
杨玉环,2,美女,54402352,6354236,95
陈雪凝,2,音乐,24904106,6344638,23
杨恒瑞,1,娱乐,77511803,6315920,232
放扬的心心,0,剧情,54894427,6267696,111
喂谷美食记,1,美食,25538870,6265920,280
安琪莉娜·王,2,美妆,28309300,6253025,176
我叫Abbily,2,舞蹈,30148988,6247271,107
济公爷爷·游本昌,1,娱乐,37715580,6244307,30
爱吃的绵er.,2,美女,20932975,6239411,96
小彭,1,搞笑,51927902,6223277,259
老丈人说车,2,汽车,37502483,6183424,220
凯诺,1,音乐,56794851,6124295,278
